X,Y
630.9,500.1
626.8,506.2
625.9,504.6
626,504.2
621.6,503
621.7,506
620.9,508.2
619.9,513.7
617.7,508.6
618.3,508.1
616,506.5
614.6,501.8
615.6,500
611.4,499.4
609.6,499.9
608.9,506.6
603.9,508.9
607.2,511.9
606.2,513.5
612.9,514.5
608.1,517.1
605.1,515.6
604.1,517.6
600.6,521.6
598.7,520.2
597.3,521
593.3,520.3
591.7,521.2
591.3,521.4
587.7,525.5
586.8,525.9
584.9,533.1
589.9,529.6
594,530.6
598.7,525
601.9,530.8
603.6,530.6
610,536.6
613.1,534.2
614.6,535.7
618.6,539.9
614.5,540.5
614.2,540.7
613.4,543.7
618.3,545.3
615.5,550.5
616.8,550.4
626.8,548.1
626.3,548.4
621.4,554.7
624.7,555.5
624,561.9
627,556.5
628,553.8
631.7,551.2
632.4,546.1
630,545.9
626.9,540.8
625.6,537.6
630.3,534.6
629.4,534.3
627.4,531.7
626.4,532.9
621.7,533.7
623.9,530.2
621.7,529.2
621.2,529.4
621.4,527.5
618.4,529.3
615.5,526.9
609.9,529.2
609,530.8
608.7,531.8
604.4,527.1
602.3,525
603.6,523.2
606.8,523.5
609.2,520.5
609.6,522.6
612.3,523.8
615,524
618.9,523.8
620.7,522.7
625.3,518.3
622.7,516.9
624.5,513.5
628.2,514.8
630.2,513.5
632.9,514.5
636.2,515.3
637.3,515.3
636.6,518.8
639.2,525.8
634.6,524
630.9,523
630.9,531.9
634,532.8
638.7,535.9
635.7,542.9
637.2,545.4
637,548.6
636.5,551.6
636,557.1
638.4,558.3
638.4,564.2
640.4,567.3
643.8,565.8
643.6,566.9
647.2,570.4
648.2,571.6
647.2,572.6
649.7,578.9
646.8,580.5
644.7,581.6
646.7,583.7
641.2,587.4
645.4,588.7
645.1,590.6
651.7,591.2
647.6,586.8
650.4,585.4
652.2,585.6
651.7,587.3
652.4,588.4
654.9,588.6
657.6,590.2
661.9,591.1
656.3,599.2
655.1,601.1
657.5,601.8
659.2,605.5
659.4,606.7
666,600.6
668.7,598.2
669.8,603.2
672.5,611.2
673.7,611.6
673.6,612.9
676.4,611.4
675.5,617.2
674.3,624.5
677,626.2
676.2,628.5
678.3,631.6
679.3,632.4
681.4,631
682.8,628.5
677.8,626.3
683,618.9
684.3,616.3
691.5,617.2
692.8,618.9
693.9,614.1
695.1,612.5
694.2,610.7
693.7,610.5
690.2,610.2
682.7,608.4
682.1,606.2
676.3,597.6
675.1,598.2
674.5,594.8
670.5,589.6
676.9,585.8
680.1,583.3
673.3,581.8
668.5,580.4
669.8,574.6
668.3,574.8
662.6,575.7
661.3,578.7
661.9,580.7
659.1,580.4
